id,name,mean_sub,mean_vi,,,,
UCKqx9r4mrFglauNBJc1L_eg,[토이푸딩] ToyPudding TV,21059823,12920623548,,떵개떵,,UC-i2ywiuvjvpTy2zW-tXfkw
UC3IZKseVpdzPSBaWxBxundA,ibighit,19777498,4270933561,,Toymong tv 토이몽TV,,UC0vDCy8moGUhR7kRL19wWpw
UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,17306430,12855075123,,또봇 V (Tobot V),,UC1WEOQjm8tyT1pXY6xaoYZQ
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,16778676,4087206989,,TV-People,,UC1cWTErb7vw_UmmuB0dYgsQ
UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (원더케이),14638026,11782773157,,SonicToy소닉토이,,UC2NvqL2gbWQXbfnLN7C9XFg
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,14175624,1997184444,,ibighit,,UC3IZKseVpdzPSBaWxBxundA
UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,13223608,3046718872,,VIVA DANCE STUDIO,,UC3LIEPioeH0CmVCmCn4JS1g
UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,12481908,7047117580,,Boram Tube ToysReview [보람튜브 토이리뷰],,UC3pnQ7MHDABUFungNcMQ7dA
UCaO6TYtlC8U5ttz62hTrZgg,jypentertainment,10978973,5530489480,,콩순이?시크릿 쥬쥬 (Kongsuni?Secret Jouju),,UC3sCmmMaM383cjv1jNdiU2w
UCzw-C7fNfs018R1FzIKnlaA,BIGBANG,10604258,4991334072,,ssin 씬님,,UC5xK2Xdrud3-KGjkS1Igumg
UClkRzsdvg7_RKVhwDwiDZOA,JFlaMusic,10533139,1943931875,,SBS Drama,,UC6erIDuvbOaAO-OT5rB2Xew
UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,9419980,5022143748,,With Kids[위드키즈],,UC6ye474SJCiPsEPueO_b3Gw
UC3pnQ7MHDABUFungNcMQ7dA,Boram Tube ToysReview [보람튜브 토이리뷰],7938728,2175612733,,MBCdrama,,UC7lb15P-Hux7A5gBuhCxtuQ
UC_pwIXKXNm5KGhdEVzmY60A,Stone Music Entertainment,5801056,4222977651,,GOT7,,UC8HEl74jL3bLLwfDP1OALxw
UCe52oeb7Xv_KaJsEzcKXJJg,MBCkpop,5690604,4198856270,,Maangchi,,UC8gFadPgK2r1ndqLI04Xvvw
UCjWRi2qaGtKjQyoQLc4OGkw,Sungha Jung,5448363,1590618865,,FRAN,,UC8kRUGUkq_sTGuKNR1l6Rrw
UCepUWUpH45hRTi-QePdq1Bg,Mnet Official,5033314,3560843467,,RISABAE,,UC9kmlDcqksaOnCkC_qzGacA
UCiBr0bK06imaMbLc8sAEz0A,MBCentertainment,4752999,5709125815,,ASMR PPOMO,,UCAtFkapSeoEGPxm5bC3tvaw
UCT-_4GqC-yLY1xtTHhwY0hA,PONY Syndrome,4736469,243047193.4,,슈기님,,UCBCY00Ox6Cins0oRwSLqNGA
UCWxCyZibDIWIrGIgP25mbfw,iKON,4444226,1016149225,,태경 TV,,UCEPuItFWOOJ2o5hTu65NlEg
UCnsQjCVzmEd-YvlQZbo6zCg,2NE1,4259203,1554623348,,SMTOWN,,UCEf_Bc-KVd7onSeifS3py9g
UCbWPYsyJX1-7uvfOw3LkLqw,ToyMart TV,4169062,2009183315,,JTBC Entertainment,,UCFL1sCAksD6_7JIZwwHcwjQ
UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,3848573,403993816.9,,Travel Thirsty,,UCHKVXtT1YBCYUnnr4apqXfg
UCPde4guD9yFBRzkxk2PatoA,ALL THE K-POP,3820178,1936349577,,MariAndFriends,,UCIAH4FXl2DQ4HmLupsyFiug
UC8HEl74jL3bLLwfDP1OALxw,GOT7,3420837,371804642.5,,Boram Tube [보람튜브],,UCJedRe-OQCN-75DhLmG3VPQ
UCJedRe-OQCN-75DhLmG3VPQ,Boram Tube [보람튜브],3339360,635028157.1,,KBSEntertain,,UCK1sVuXaDvJeNwl9noN5nOA
UCYDmx2Sfpnaxg488yBpZIGg,starshipTV,3330703,1691723002,,JAY PARK,,UCK5fO9Q2gitao0M5yQvPnvw
UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,3314629,731260905.4,,[토이푸딩] ToyPudding TV,,UCKqx9r4mrFglauNBJc1L_eg
UCmR-oFhgGGe-dCRiDg2ysLw,waveya 2011,3292117,1104959664,,STUDIO ONSTYLE,,UCLQ_lTDcNOj7VzNeW0kZ17w
UCTQVIXvcHrR9jYoJ6qaBAow,M2,3221351,1581659182,,BANGTANTV,,UCLkAepWjdylmXSltofFvsYQ
UCqXwKu6dKobXEQFhdKtiJLQ,핑크퐁 (인기 동요?동화),3107034,1995798489,,MariAndToys,,UCMY30BnMbn6wElwLvDgcajw
UCeLPm9yH_a_QH8n6445G-Ow,KBSKpop,3096214,1647671942,,캐리TV CarrieTV,,UCN106RQxroojNzkEMuRC0BA
UC8gFadPgK2r1ndqLI04Xvvw,Maangchi,3089773,347195755.3,,BLACKPINK,,UCOmHUn--16B90oW2L6FRR3A
UCYx9lhCw0u2-OoqVtEU0IMg,밴쯔,3055383,1009519527,,GIRLS' GENERATION,,UCPENYtHg4Xhmm6oX8zaQA7Q
UCFL1sCAksD6_7JIZwwHcwjQ,JTBC Entertainment,3034590,3448836834,,MariAndKids,,UCPGFLUUESbnhkOTpIt71Awg
UCg-p3lQIqmhh7gHpyaOmOiQ,영국남자 Korean Englishman,2985117,745285669.2,,창현거리노래방 쏭카페KPOP COVER STREET KARAOKE,,UCPJmHR4CG_lRuVwKCo0kjjg
