,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
,1550142,12873895,3380404,2691706,1463770,2475231,1502227,3470653,9857426,280100,1165132,2948542,1896424,1854607,657083,2116770,1594432
1,7,23,19,24,11,26,19,19,18,20,7,15,10,25,6,28,25
2,22,24,24,39,18,21,22,20,21,20,22,21,18,31,14,32,20
3,22,21,12,22,36,21,27,32,26,0,17,26,13,35,25,28,22
4,18,23,21,36,26,36,9,12,22,0,2,14,15,21,14,15,31
5,18,25,17,15,36,33,13,19,22,0,20,17,21,25,28,15,22
6,19,27,27,13,21,29,13,20,23,10,12,17,13,15,11,18,6
7,12,23,17,24,11,14,13,19,20,0,17,19,10,14,11,23,11
8,12,18,30,27,18,23,11,11,23,0,17,14,21,24,25,23,18
9,28,28,33,25,18,24,17,17,27,0,22,30,12,24,17,28,17
10,7,28,21,19,28,29,28,26,22,30,12,20,12,7,22,29,9
11,9,33,27,43,15,21,14,18,28,0,32,17,10,15,33,40,22
12,18,34,38,21,18,26,19,19,25,0,15,16,22,22,6,14,15
13,12,31,23,13,13,34,14,20,26,0,27,30,22,24,14,29,17
14,15,28,20,15,18,24,22,30,29,30,15,23,19,15,25,35,15
15,9,34,20,30,26,23,11,30,36,10,34,26,15,14,14,31,34
16,10,29,28,22,15,29,17,34,33,90,12,27,18,15,42,31,20
17,25,27,23,19,20,33,16,30,38,50,54,28,35,19,36,38,26
18,18,36,49,30,30,37,30,38,41,20,46,31,16,26,25,37,25
19,24,32,23,22,21,27,27,40,28,20,15,28,34,28,42,26,28
20,16,38,24,31,20,20,38,27,37,20,49,25,10,25,33,22,32
21,30,31,41,28,39,43,25,23,32,0,10,31,26,36,11,31,29
22,34,31,27,27,67,31,14,19,34,30,27,23,26,32,22,38,17
23,27,42,35,52,36,39,64,52,56,20,32,40,32,51,33,40,51
24,46,63,54,43,64,79,36,49,50,30,46,42,29,51,31,77,29
25,21,49,54,39,48,34,44,62,54,20,41,49,37,33,42,45,35
26,18,50,44,25,43,83,42,60,50,10,39,43,46,56,44,45,37
27,37,57,55,79,64,47,45,55,54,30,51,47,34,39,39,62,54
28,55,62,39,40,56,43,70,57,50,40,76,42,41,61,67,52,43
