Country,GDP
AGO,122124
ARE,382575
ARG,637430
AUS,1323421
AUT,416836
AZE,40748
BEL,494764
BGD,249724
BGR,58221
BHR,35433
BLR,54456
BOL,37509
BRA,2053595
CAN,1647120
CHE,678965
CHL,277076
CHN,12237700
CMR,34923
COD,37642
COL,314458
CRI,57286
CUB,96851
CZE,215914
DEU,3693204
DNK,329866
DOM,75932
DZA,167555
ECU,104296
EGY,235369
ESP,1314314
EST,26612
ETH,80561
FIN,252302
FRA,2582501
GBR,2637866
GHA,58997
GRC,203086
GTM,75620
HKG,341449
HND,22979
HRV,55213
HUN,139761
IDN,1015421
IND,2650725
IRL,331430
IRN,454013
IRQ,192061
ISL,24488
ISR,353268
ITA,1943835
JPN,4872415
KAZ,162887
KEN,79263
KWT,120126
LBN,53577
LBY,38108
LKA,87357
LTU,47544
LUX,62316
LVA,30463
MAC,50361
MAR,109709
MEX,1150888
MMR,67069
MYS,314710
NGA,375745
NLD,830573
NOR,399489
NPL,24880
NZL,204139
OMN,70784
PAK,304952
PAN,62284
PER,211389
PHL,313595
POL,526466
PRT,219308
PRY,39667
QAT,166929
ROU,211884
RUS,1578417
SAU,686738
SDN,117488
SGP,323907
SLV,24805
SRB,41432
SVN,48770
SWE,535607
THA,455303
TUN,39952
TUR,851549
TZA,53321
UGA,25995
UKR,112154
URY,56157
USA,19485394
UZB,49677
VNM,223780
ZAF,348872
ZMB,25868
