Channel,Subscribe,View
밴쯔,236 ,10 
철구형 (CHULTUBE),149 ,102 
영국남자 Korean Englishman,392 ,172 
꾹TV(Kkuk TV),180 ,37 
보물섬,173 ,160 
크림히어로즈,361 ,142 
YTN NEWS,186 ,0 
[Dorothy]도로시,399 ,58 
더블비,172 ,118 
허팝Heopop,371 ,100 
JFlaMusic,1580 ,616 
1theK (원더케이),2030 ,4 
BANGTANTV,3310 ,741 
SMTOWN,2340 ,347 
SBS TV동물농장x애니멀봐,334 ,52 
M2,599 ,7 
잠뜰 TV,191 ,38 
대도서관TV (buzzbean11),178 ,8 
EBSDocumentary (EBS 다큐),167 ,1 
총몇명,230 ,297 
럭키강이 LuckyKang i,247 ,49 
JOLLY,206 ,60 
JTBC Entertainment,566 ,0 
조재원,154 ,59 
도티 TV,253 ,35 
양팡 YangPang,254 ,113 
Mnet Official,745 ,22 
디바제시카DeevaJessica,194 ,20 
ssin 씬님,159 ,35 
올리버쌤,179 ,164 
장삐쭈,249 ,241 
iKON,706 ,154 
tvN DRAMA,360 ,8 
감스트GAMST,179 ,106 
BLACKPINK,4260 ,2522 
꿀키honeykki,214 ,25 
MAMAMOO,389 ,117 
tvN,257 ,1 
MBCentertainment,739 ,1 
콬TV,150 ,50 
슈기님,168 ,87 
RISABAE,226 ,31 
woolliment,175 ,51 
떵개떵,406 ,36 
JTBC Drama,340 ,0 
PONY Syndrome,571 ,71 
SBS Drama,411 ,2 
Hamtaro Gasa,209 ,10 
SEVENTEEN,519 ,66 
Raon Lee,378 ,79 
