,¹êÂê,Ã¶±¸Çü (CHULTUBE),¿µ±¹³²ÀÚ Korean Englishman,²ÚTV(Kkuk TV),º¸¹°¼¶,Å©¸²È÷¾î·ÎÁî,YTN NEWS,[Dorothy]µµ·Î½Ã,´õºíºñ,ÇãÆËHeopop,JFlaMusic,1theK (¿ø´õÄÉÀÌ),BANGTANTV,SMTOWN,SBS TVµ¿¹°³óÀåx¾Ö´Ï¸ÖºÁ,M2,Àá¶ã TV,´ëµµ¼­°üTV (buzzbean11),EBSDocumentary (EBS ´ÙÅ¥),ÃÑ¸î¸í,·°Å°°­ÀÌ LuckyKang i,JOLLY,JTBC Entertainment,Á¶Àç¿ø,µµÆ¼ TV,¾çÆÎ YangPang,Mnet Official,µð¹ÙÁ¦½ÃÄ«DeevaJessica,ssin ¾À´Ô,¿Ã¸®¹ö½Ü,Àå»ßÂÞ,iKON,tvN DRAMA,°¨½ºÆ®GAMST,BLACKPINK,²ÜÅ°honeykki,MAMAMOO,tvN,MBCentertainment,± TV,½´±â´Ô,RISABAE,woolliment,¶º°³¶º,JTBC Drama,PONY Syndrome,SBS Drama,Hamtaro Gasa,SEVENTEEN,Raon Lee
2017-11-14,0,5,5,6,5,6,7,0,3,0,0,0,2,4,0,0,2,0,5,0,0,7,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,4,0,0
2017-11-21,0,7,6,5,4,6,7,0,0,0,0,0,1,5,0,0,2,3,0,0,2,6,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2017-11-28,0,6,0,6,7,3,2,0,0,0,0,2,3,0,0,5,0,0,1,0,3,2,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,3,0,2,0,4,0,0,0,0,0,0,1,0
2017-12-05,0,5,4,0,1,4,7,0,3,0,0,5,0,3,0,2,0,3,3,1,0,4,0,0,0,2,2,0,3,0,2,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
2017-12-12,6,2,5,4,2,6,7,1,0,0,4,5,1,5,6,1,0,6,1,0,2,5,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0
2017-12-19,7,3,6,6,3,6,7,0,0,0,4,0,1,0,2,0,0,4,2,3,2,4,0,2,0,3,0,0,2,0,0,0,1,0,1,0,0,5,0,0,0,3,0,0,0,4,0,0,1,0
2017-12-26,7,4,2,4,3,4,6,2,0,0,0,2,0,4,0,0,2,4,0,5,5,3,0,0,0,1,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-01-02,7,6,6,2,4,5,6,1,0,0,5,3,0,0,2,0,2,2,0,4,3,3,2,0,0,0,0,0,0,1,0,2,0,0,4,0,4,2,0,0,6,0,5,0,0,1,0,0,0,0
2018-01-09,3,7,6,7,3,5,3,0,3,0,3,8,0,2,2,1,0,3,2,2,3,0,1,4,8,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0
2018-01-16,6,5,5,8,4,5,6,2,4,0,4,5,1,2,0,3,3,2,0,1,1,0,2,0,0,4,0,0,0,3,0,1,0,0,2,0,0,0,1,4,3,3,0,0,0,1,0,0,0,0
2018-01-23,4,8,0,9,3,2,3,0,7,0,4,0,4,6,2,2,1,5,3,0,1,0,3,0,0,3,0,0,4,5,0,6,0,0,4,0,0,0,0,2,0,8,0,0,0,2,0,1,0,0
2018-01-30,3,8,6,4,7,2,4,8,6,0,0,0,5,3,6,4,4,7,3,0,7,0,4,0,0,2,0,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2018-02-06,7,7,9,0,2,0,6,6,1,0,2,3,2,0,2,2,4,0,1,0,3,0,0,4,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2018-02-13,5,5,7,1,3,0,1,3,2,0,3,0,5,4,3,0,1,3,2,0,2,0,0,0,4,0,0,0,0,2,0,0,4,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0
2018-02-20,5,7,7,3,2,0,2,2,0,4,4,2,1,1,0,3,3,2,0,0,2,0,0,0,2,0,4,0,0,3,0,0,2,0,0,0,2,0,6,0,0,0,2,0,0,0,4,0,0,0
2018-02-27,6,8,7,1,2,0,3,3,4,6,5,4,1,3,0,3,3,1,0,2,0,0,3,5,4,0,2,0,0,3,0,1,8,0,3,3,6,0,5,3,3,0,0,0,0,0,4,0,0,0
2018-03-06,6,6,6,8,8,2,4,0,5,3,3,2,2,0,2,2,2,4,3,1,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-03-13,6,9,7,0,3,2,0,6,0,7,3,2,1,0,0,4,4,0,7,0,5,0,4,4,4,3,0,0,6,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,4,0,0
2018-03-20,10,5,6,5,6,5,0,8,5,10,0,3,2,5,0,2,1,0,5,3,5,0,0,8,0,2,0,0,5,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,7,0,2,2
2018-03-27,7,6,6,0,3,5,4,4,2,5,4,3,5,5,0,5,0,2,4,0,1,0,2,4,0,5,0,0,0,0,0,0,2,4,0,2,1,0,3,0,0,0,0,0,2,1,2,0,0,5
2018-04-03,6,6,7,0,4,3,7,5,0,6,4,2,5,1,0,5,0,0,4,2,0,0,4,0,0,4,2,2,4,0,0,0,2,0,0,3,3,1,0,0,0,0,1,1,3,0,0,0,0,0
2018-04-10,7,2,5,2,5,5,2,5,0,2,4,0,4,5,0,0,0,4,0,5,0,0,1,0,0,4,0,3,0,5,0,4,2,1,0,2,1,7,0,0,0,0,6,0,3,0,0,0,0,0
2018-04-17,7,6,4,5,3,1,6,6,4,6,4,6,5,0,3,2,2,0,2,4,0,0,3,3,0,0,0,3,0,0,0,3,0,2,0,2,0,7,0,0,0,0,2,4,3,0,0,1,0,0
2018-04-24,8,4,7,6,4,2,8,3,8,0,3,2,3,0,7,4,3,0,2,4,1,6,2,2,4,3,2,3,4,0,0,2,4,0,0,0,0,1,0,0,0,0,0,5,3,0,0,2,0,3
2018-05-01,8,8,4,3,3,6,3,2,2,1,2,4,3,0,3,0,5,0,2,4,2,4,2,5,1,0,7,6,1,2,0,1,2,1,0,0,2,0,2,0,3,0,1,3,2,0,0,0,0,1
2018-05-08,5,3,12,10,9,12,2,7,8,14,3,0,0,2,11,0,6,0,3,3,0,0,6,0,0,0,8,4,1,1,10,1,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2018-05-15,9,0,5,5,10,10,3,4,3,5,3,10,7,3,0,2,3,0,3,4,0,5,3,3,0,0,0,8,2,0,7,3,0,4,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,3
2018-05-22,8,8,7,9,5,8,1,4,9,8,0,3,2,3,4,6,3,2,2,4,1,0,0,0,8,0,0,2,0,0,8,3,0,5,1,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0
