,,¶º°³¶º,Toymong tv ÅäÀÌ¸ùTV,¶Çº¿ V (Tobot V),TV-People,SonicToy¼Ò´ÐÅäÀÌ,ibighit,VIVA DANCE STUDIO,Boram Tube ToysReview [º¸¶÷Æ©ºê ÅäÀÌ¸®ºä],Äá¼øÀÌ?½ÃÅ©¸´ ÁêÁê (Kongsuni?Secret Jouju),ssin ¾À´Ô,SBS Drama,With Kids[À§µåÅ°Áî],MBCdrama,GOT7,Maangchi,FRAN,RISABAE,ASMR PPOMO,½´±â´Ô,ÅÂ°æ TV,SMTOWN,JTBC Entertainment,Travel Thirsty,MariAndFriends,Boram Tube [º¸¶÷Æ©ºê],KBSEntertain,JAY PARK,[ÅäÀÌÇªµù] ToyPudding TV,STUDIO ONSTYLE,BANGTANTV,MariAndToys,Ä³¸®TV CarrieTV,BLACKPINK,GIRLS' GENERATION,MariAndKids,Ã¢Çö°Å¸®³ë·¡¹æ ½öÄ«ÆäKPOP COVER STREET KARAOKE,»Ç·Î·Î(Pororo),ALL THE K-POP,¾Ç¾î À¯Æ©ºê,PONY Syndrome,M2,¼­ÀºÀÌ¾ß±â[SeoeunStory],[Dorothy]µµ·Î½Ã,iKON,starshipTV,¾ç¼öºó,¿Í½ç¸Ç-Wassup Man,¾ç¶ò À¯Æ©ºê,¹êÂê,4Minute Æ÷¹Ì´Ö(Official YouTube Channel),Stone Music Entertainment,jypentertainment,WINNER,Mnet K-POP,ToyMart TV,²ÚTV(Kkuk TV),GOD-TUK,SBSNOW,[Awesome Haeun]¾î½æÇÏÀº,ÇìÀÌÁö´Ï Hey Jini,MBCkpop,KBSKpop,Àç³Í,Mnet Official,³ªµµNado,SEVENTEEN,¿µ±¹³²ÀÚ Korean Englishman,Àá¶ã TV,µð¹ÙÁ¦½ÃÄ«DeevaJessica,°ø´ë»ý º¯½ÂÁÖ,µµÆ¼ TV,DramaKBS,MBCentertainment,ÇÃ·¹ÀÌ¸®½ºÆ®,Sungha Jung,JTBC Drama,JFlaMusic,Å©¸²È÷¾î·ÎÁî,waveya 2011,SBS Entertainment,2NE1,woolliment,TOY GUMA,Åð°æ¾Æ ¾à¸ÔÀÚ,The World of Daveµ¥ÀÌºê,ÇÎÅ©Æþ (ÀÎ±â µ¿¿ä?µ¿È­),Robocar POLI TV,officialpsy,µù°í ¹ÂÁ÷ / dingo music,º¸°â TV,²ÜÅ°honeykki,1MILLION Dance Studio,1theK (¿ø´õÄÉÀÌ),BEAST ºñ½ºÆ® (Official YouTube Channel),ToyFamily,EBSKids (EBS À¯¾Æ),Lime Tube[¶óÀÓÆ©ºê],lamuqe,TWICE,BIGBANG
,,298,263,146,177,256,1978,172,794,254,161,164,162,231,342,309,140,205,166,174,134,1731,303,283,154,334,284,144,2106,140,1418,186,195,1678,181,227,192,279,382,132,474,322,265,177,444,333,158,165,178,306,188,580,1098,248,942,417,153,138,222,278,148,569,310,143,503,136,331,299,165,157,186,247,148,475,182,545,163,1053,203,329,210,426,149,228,157,173,311,186,1248,170,289,155,1322,1464,132,204,191,179,139,385,1060
2018-12-15 6:23,1,212380,301544,210963,191838,344270,1018610,28431,1459990,517716,17046,212230,196401,344335,65336,33410,133141,21608,59321,91571,148054,1245182,507749,298629,200057,247445,322225,27903,1046107,38948,296328,150146,124672,1478268,161,232385,161404,111102,216241,64659,21788,275522,304008,183259,285606,122535,95847,43951,58575,73588,26757,368046,646017,211228,707446,293690,81627,60833,280644,80559,225958,420885,234834,51121,496801,65260,107676,83105,158313,61651,120668,168279,342915,715226,81859,36774,359055,247967,145027,44267,219645,40794,17678,175137,30299,35937,577489,225648,171175,66791,246860,19291,478393,1372772,12156,85396,367328,237842,1522,67088,238168
2018-12-15 9:22,2,185669,164296,72096,155229,324165,1025989,27539,2079525,436812,8456,123915,135640,227771,44958,33171,125853,15579,92902,67233,12310,1853546,280966,398552,124319,280187,135494,33121,772490,124464,230784,127116,23748,1015701,534,261349,90428,68329,169864,19447,23094,463036,177411,160620,174022,126879,135647,54038,-52861,52678,33049,369156,727425,111395,7413349,387368,9152,40987,142664,59113,75104,187228,309367,22201,395127,76253,82111,72819,-33479,21205,26149,16930,176404,410450,43627,33331,252589,452104,99429,62863,168796,44807,18369,117579,26214,25118,315675,130435,229497,54873,103204,19900,572119,1275547,13657,71484,92117,243783,15321,41788,243967
2018-12-15 12:22,3,134624,124212,111252,158661,238274,801279,22789,1276184,380313,6534,183499,128328,309485,31902,32823,96180,14468,69680,44467,33616,1452162,300015,292343,130910,168599,252551,24735,494887,50944,184738,111141,52942,753769,537,241086,86958,119533,142703,28130,13539,283446,179648,98866,117747,109158,70231,22455,21380,52897,29877,273504,524384,69528,1844704,328187,16661,28546,178516,33300,91615,198134,268872,20657,304438,39024,59854,60546,37086,46646,29918,50374,286627,487118,35815,34596,266665,237040,85035,53426,178596,35124,15664,103823,17769,20383,359105,187630,159863,44139,74383,16434,404760,940369,7712,60985,154856,238541,8364,33201,168529
2018-12-15 15:22,4,159689,278097,231748,174491,253619,952432,23922,1907789,664154,9147,145976,201456,280017,51565,32957,84807,17372,58423,66571,177875,1891945,371827,265164,261534,291606,273208,31734,769338,181004,224423,164897,159397,1791181,394,294337,123092,331841,202476,45651,18602,480099,339901,117503,258414,117322,80485,52458,28544,52848,27165,418452,841660,116203,2878946,380973,81168,40634,237524,81699,284842,286834,401598,59108,457866,63393,96129,83260,201652,59487,112694,219283,228564,583774,83439,34963,265162,399928,208093,52949,175799,44060,18457,111771,24479,27238,684801,234815,153654,63128,229143,16080,444410,1316128,11788,93048,372645,399736,14867,73039,249728
2018-12-15 18:22,5,156175,295258,250508,143680,242986,665203,20294,1827394,567717,9912,99947,176174,249006,45361,24600,69678,20431,37776,61012,235941,1587158,351713,208420,226958,249193,253955,22744,804186,127946,191415,138235,165403,1562689,334,224255,116736,336748,187416,45689,16899,542358,315120,132085,252428,92946,86174,53103,43079,48624,19717,434546,729406,125829,2490303,279841,75406,48575,229998,87236,277890,308004,337662,61807,444330,60154,84287,78952,204290,52254,110234,210303,188341,539271,85325,28630,201219,386367,161668,35123,150882,38488,18969,88611,26710,22963,546884,211229,116222,59758,330836,15689,349721,1169178,11471,80484,389935,344738,13996,62336,239651
2018-12-15 21:22,6,230389,354198,328005,219133,306486,813737,29941,2269604,667971,14797,165194,212314,388640,52581,35367,115331,23000,59030,87702,268753,1885977,506068,310232,282169,328037,393865,30904,991108,162438,219618,162790,242860,1792202,317,264981,168838,445015,255115,78708,27273,597417,392777,185901,291652,108609,140196,68055,72054,86081,21327,615387,943718,184651,2718819,347843,112916,78046,321551,117475,340313,530921,483814,71489,612795,97999,107638,111194,278550,78862,136750,259400,317991,752842,109266,39587,313771,460118,208882,43968,214856,47240,22217,109568,31664,33597,629720,292253,146975,88996,340901,24667,458834,1545815,16563,107806,575796,423826,18373,86104,296336
2018-12-16 0:22,7,297837,430846,365787,232629,432360,911896,37355,2838570,863097,14322,172061,275618,438434,53776,41068,141488,23400,51797,93115,279644,1992241,531518,358810,328398,401002,452499,32594,1179724,165861,241202,189330,263724,1987414,397,356301,193200,544894,276189,151389,29017,561009,517272,204766,334617,126878,177730,69552,71432,105103,27839,708102,1000493,231648,2555936,433303,166577,93670,385396,148263,414330,1017466,503089,74929,657419,135937,117912,127736,350430,74104,173644,316729,365847,814806,181420,42087,319158,574175,224728,47856,241372,54221,25115,138069,34371,35363,757308,305552,198021,99599,258670,32344,601440,1755287,15890,117524,691210,520864,16218,97947,336345
2018-12-16 3:22,8,377126,444428,345780,252493,510338,1140198,41338,3594873,894479,16855,173320,310806,465171,58693,45980,191606,30490,59624,131541,219313,2376913,773696,454297,375983,547514,451450,35299,1489234,161836,312055,225531,217161,2323300,329,433436,214998,371337,320679,106194,34524,593549,500723,254128,320320,145328,220135,62408,68315,134654,33644,689976,961556,215152,508774,552319,161477,100098,404402,160186,381984,1062401,432352,76418,769492,132070,125303,123095,242439,68853,218921,317342,401766,851602,278439,44550,334991,699196,239794,58472,253188,58777,24831,184849,46302,45262,730146,311088,250521,111159,505231,35806,698473,1739283,17533,141449,585911,564786,25497,109756,347281
2018-12-16 6:23,9,311721,326308,215437,253323,448813,1133453,38041,2775768,676397,12830,200898,234019,437449,54364,41831,212378,27768,-260369,111504,85632,2142748,711989,520488,227994,317720,348401,40027,1229112,92285,279379,205316,105748,1420389,368,330386,168665,218220,270860,67330,35432,453361,330813,246131,257351,153980,168630,54092,45571,146333,34148,558399,935881,150310,-595444,470260,59095,76470,133060,102661,197328,769039,350734,39386,631515,115089,109987,91036,103882,51853,100960,108229,395381,769031,157631,44513,443287,639048,171904,65445,229027,54226,25800,165076,41794,38856,529775,-916329,240338,84019,360143,33115,654299,1567074,14995,99696,336574,363107,27008,70633,311711
