,,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
,,1550142,12873895,3380404,2691706,1463770,2475231,1502227,3470653,9857426,280100,1165132,2948542,1896424,1854607,657083,2116770,1594432
2018-01-01,1 ,3,13,24,0,0,0,25,0,15,0,7,8,0,6,11,0,8
2018-01-08,2 ,0,13,5,0,3,0,0,7,3,0,0,8,7,11,22,31,8
2018-01-15,3 ,3,9,5,4,7,0,0,4,4,0,14,8,13,17,0,0,0
2018-01-22,4 ,0,2,5,4,7,13,0,0,10,0,0,17,0,6,0,6,0
2018-01-29,5 ,3,10,5,8,0,0,25,11,8,0,0,13,0,6,11,6,23
2018-02-05,6 ,3,8,5,12,7,0,33,11,7,17,0,0,0,17,11,6,0
2018-02-12,7 ,3,3,19,0,0,4,8,0,10,0,7,13,0,6,22,6,0
2018-02-19,8 ,0,11,5,4,20,4,17,11,11,0,0,13,0,17,0,6,8
2018-02-26,9 ,3,12,19,8,3,13,17,7,10,33,0,17,7,28,11,6,15
2018-03-05,10 ,9,12,38,4,0,13,17,7,8,0,14,13,0,28,11,0,8
2018-03-12,11 ,0,13,10,4,7,4,8,11,8,0,0,8,7,6,11,0,0
2018-03-19,12 ,3,10,10,4,3,4,0,0,13,0,21,4,0,0,0,19,8
2018-03-26,13 ,3,14,5,4,7,21,0,19,10,67,7,17,7,28,0,0,0
2018-04-02,14 ,6,13,19,8,3,17,0,11,9,0,0,0,13,6,0,6,0
2018-04-09,15 ,3,13,5,8,7,0,8,30,13,67,14,25,33,6,11,0,0
2018-04-16,16 ,3,9,10,0,3,8,8,4,10,0,0,33,7,22,11,25,8
2018-04-23,17 ,0,7,29,4,3,0,0,7,8,0,0,4,0,6,11,6,8
2018-04-30,18 ,0,12,0,0,7,4,17,7,10,0,7,13,40,6,22,25,0
2018-05-07,19 ,39,89,76,40,17,67,42,70,64,33,29,92,60,33,78,63,54
2018-05-14,20 ,0,34,14,12,13,33,8,4,28,0,21,17,27,11,33,25,15
2018-05-21,21 ,0,29,38,36,10,17,8,11,16,0,0,21,20,6,11,19,8
2018-05-28,22 ,3,32,10,8,3,13,25,22,16,17,29,29,0,11,22,19,15
2018-06-04,23 ,15,49,43,20,27,25,58,33,42,17,50,21,13,61,0,31,100
2018-06-11,24 ,9,33,10,20,7,4,50,30,25,0,0,17,33,56,33,6,23
2018-06-18,25 ,3,31,14,16,10,13,25,11,21,17,7,17,47,22,11,19,15
2018-06-25,26 ,21,15,29,24,0,21,33,4,25,0,0,17,7,39,44,31,15
2018-07-02,27 ,18,14,10,8,7,17,42,15,33,0,29,25,13,11,22,25,23
2018-07-09,28 ,0,18,33,4,3,33,8,33,29,17,0,4,20,11,22,13,8
2018-07-16,29 ,0,25,14,36,13,8,33,15,19,0,14,8,20,0,22,25,0
2018-07-23,30 ,3,22,10,4,7,13,8,19,15,0,0,17,0,17,33,19,0
2018-07-30,31 ,0,10,5,16,13,42,17,33,11,0,7,8,7,22,44,6,0
2018-08-06,32 ,18,14,10,16,3,4,17,19,9,0,7,4,7,6,11,25,0
2018-08-13,33 ,12,25,24,28,7,8,8,11,26,0,0,46,7,6,11,25,23
2018-08-20,34 ,3,10,14,24,20,29,42,44,19,17,21,4,33,11,44,25,23
2018-08-27,35 ,9,19,38,36,17,17,8,26,19,0,14,8,0,6,44,13,46
2018-09-03,36 ,6,14,5,12,7,8,17,15,28,0,0,0,0,17,0,25,8
2018-09-10,37 ,0,10,14,12,3,0,25,11,19,0,0,4,33,17,11,13,0
2018-09-17,38 ,3,9,14,4,3,13,0,4,10,17,0,4,7,6,11,13,8
2018-09-24,39 ,6,15,19,16,0,21,25,0,22,0,0,4,0,22,11,31,23
2018-10-01,40 ,3,7,33,16,7,21,17,22,9,0,14,25,13,28,11,6,0
2018-10-08,41 ,18,15,29,4,7,8,17,22,26,17,21,25,20,17,0,19,0
2018-10-15,42 ,15,16,57,0,10,8,8,26,10,17,14,8,7,6,33,6,0
2018-10-22,43 ,6,14,14,20,0,13,33,11,12,0,14,29,0,17,22,13,31
2018-10-29,44 ,15,12,19,0,3,29,25,15,22,0,14,25,0,11,0,6,15
2018-11-05,45 ,6,20,29,4,7,21,25,7,2,17,7,4,0,6,0,25,15
2018-11-12,46 ,0,12,10,20,7,13,0,15,19,0,29,0,27,11,33,13,8
2018-11-19,47 ,6,20,10,20,17,38,17,15,18,0,7,17,13,17,22,25,15
2018-11-26,48 ,9,19,19,4,7,8,58,19,15,0,14,17,0,11,0,13,8
2018-12-03,49 ,6,10,19,0,3,13,25,19,24,0,7,4,20,17,22,6,15
2018-12-10,50 ,0,25,19,4,13,4,17,30,15,0,14,8,27,6,11,25,8
2018-12-17,51 ,3,22,14,8,3,13,17,7,9,0,36,29,13,17,44,25,31
2018-12-24,52 ,3,26,10,0,3,33,17,41,16,0,0,4,0,33,0,13,23
2018-12-31,53 ,9,24,43,12,10,0,8,26,22,0,7,4,0,28,22,19,8
2019-01-07,54 ,9,14,33,8,7,8,50,15,25,17,0,13,20,11,100,6,46
2019-01-14,55 ,9,18,24,8,3,21,33,7,19,0,7,21,13,0,22,19,8
2019-01-21,56 ,3,23,24,12,3,4,0,19,18,0,21,4,20,17,0,6,8
2019-01-28,57 ,3,15,19,12,7,17,8,7,21,0,14,8,0,22,11,0,8
2019-02-04,58 ,6,27,10,16,0,42,33,22,33,0,0,54,20,17,22,38,15
2019-02-11,59 ,6,22,38,28,17,21,0,41,22,0,7,13,13,6,11,13,31
2019-02-18,60 ,3,32,10,24,0,8,8,7,16,0,0,29,40,28,0,19,62
2019-02-25,61 ,0,22,33,16,7,8,42,7,12,0,7,13,33,11,0,0,15
2019-03-04,62 ,6,16,48,12,3,17,33,7,31,17,0,21,20,28,22,0,8
